date,price
2016-07-10,-173.30000000000018
2016-07-11,54.0
2016-07-12,-196.5999999999999
2016-07-13,335.3000000000002
2016-07-14,-40.20000000000027
2016-07-15,-0.1999999999998181
2016-07-16,9.866666666666788
2016-07-17,9.866666666666333
2016-07-18,9.866666666666788
2016-07-19,-8.0
2016-07-20,-30.699999999999818
2016-07-21,10.900000000000091
2016-07-22,-1.400000000000091
2016-07-23,-5.566666666667061
2016-07-24,-5.566666666666606
2016-07-25,-5.566666666666606
2016-07-26,32.5
2016-07-27,10.5
2016-07-28,18.200000000000273
2016-07-29,-5.900000000000091
2016-07-30,-176.66666666666697
2016-07-31,-176.66666666666652
2016-08-01,-176.66666666666652
2016-08-02,241.30000000000018
2016-08-03,126.69999999999982
2016-08-04,-69.19999999999982
